Timestamp,Elapsed Time[s],num_data_Avg,Rxy_X[ohms],Rxy_Y[ohms],Ryx_X[ohms],Ryx_Y[ohms],Rxx_X[ohms],Rxx_Y[ohms],Field_Digital[T],Field_Analog[T],T_VTI[K],T_Sample[K],V_LED_R[V]
2024-06-18 17:58:51.963388,3063.797033071518,1,155.19241751937653,-2.1438791969234483,-166.66221677103294,1.6158600819499422,121.51240646643495,-1.4771743070167223,0.4996,0.5021,193.004,199.639,0.67760352
2024-06-18 17:58:52.965376,3064.7990210056305,1,155.06197354549235,-1.9530423806761197,-166.7414370660559,1.6315530725775524,121.59739661302339,-1.4004438125825236,0.5007,0.5021,193.003,199.639,0.677637398
2024-06-18 17:58:53.993620,3065.8272652626038,1,155.05925485935919,-1.9592155287508872,-166.691959466504,1.59084153197383,121.55414934659758,-1.4413083370510444,0.5007,0.5021,193.003,199.639,0.677600867
2024-06-18 17:58:54.974867,3066.8085124492645,1,155.07360456454649,-1.9599934466900886,-166.71422881377444,1.5609628285478034,121.59387827432673,-1.4933975282277117,0.5001,0.5021,193.004,199.639,0.677630391
2024-06-18 17:58:55.979861,3067.813506126404,1,155.06328820283343,-1.9958126913902203,-166.7546521113086,1.595185695617558,121.59017126091314,-1.3662321934686277,0.5001,0.5021,193.003,199.639,0.677618243
2024-06-18 17:58:56.981912,3068.815557718277,1,155.14493084148458,-2.05926062062889,-166.6650586670139,1.6351571699630212,121.54247692998847,-1.4655655753348802,0.4996,0.5021,193.004,199.639,0.677605495
2024-06-18 17:58:57.998160,3069.8318054676056,1,155.14745948272508,-1.8480578189100079,-166.68296270403007,1.632793414501618,121.53553187159685,-1.4573355539583148,0.5001,0.5021,193.005,199.639,0.677530256
2024-06-18 17:58:58.986100,3070.8197453022003,1,155.19341977328662,-1.901142043514767,-166.67583001220112,1.5686399132877555,121.5549364512906,-1.4398142439391488,0.4996,0.5021,193.005,199.638,0.677594068
2024-06-18 17:59:00.016603,3071.850248813629,1,155.21989800978534,-1.8431725464459074,-166.5934689245198,1.653280142525044,121.53576690354852,-1.4463196216753913,0.5001,0.5021,193.005,199.638,0.677601279
2024-06-18 17:59:00.988254,3072.8218994140625,1,155.09065816694763,-1.9431624368493712,-166.61894337437064,1.7651927703785757,121.49545174381994,-1.439591941412932,0.4985,0.5021,193.004,199.639,0.677601415
2024-06-18 17:59:02.013484,3073.8471298217773,1,155.07011341154802,-1.9367833511208157,-166.6644237458746,1.638769823499114,121.58015884202605,-1.4325032274961715,0.5001,0.5021,193.004,199.639,0.677553864
2024-06-18 17:59:02.997441,3074.8310866355896,1,155.00753858563343,-1.966404877490461,-166.7342413126561,1.7026545849569958,121.57013932597965,-1.5357825994636076,0.4996,0.5021,193.003,199.639,0.677493727
2024-06-18 17:59:04.047206,3075.8808517456055,1,155.21855723079153,-1.8740163599039517,-166.67355245521097,1.5235459557781874,121.60331236961123,-1.4936424111876119,0.4991,0.5021,193.003,199.638,0.677489305
2024-06-18 17:59:05.021420,3076.8550651073456,1,155.04670636332872,-2.0549418396735395,-166.71389401477197,1.5021045987171775,121.49697605164661,-1.4860143025336312,0.4996,0.5021,193.004,199.638,0.67750577
2024-06-18 17:59:06.032110,3077.8657557964325,1,155.10032967644213,-2.0264941640335756,-166.6014099194905,1.6523597981057536,121.53610652790294,-1.4621976670187167,0.5001,0.5021,193.004,199.637,0.677562913
2024-06-18 17:59:07.052438,3078.8860836029053,1,155.1888923171678,-2.023983133453742,-166.60973065073597,1.5908671640940173,122.18645513670766,-3.5309891423258306,0.4991,0.5021,193.004,199.638,0.677524749
2024-06-18 17:59:08.022274,3079.8559198379517,1,155.12046352542063,-1.8544163444581017,-166.6293940565729,1.556326486511034,121.59082350505811,-1.7784855141270475,0.4991,0.5021,193.004,199.638,0.677610465
2024-06-18 17:59:09.025527,3080.859172821045,1,155.11714585765463,-1.9799806323523255,-166.60080316992054,1.6819185491039461,121.55122993091695,-1.4567290428493183,0.5001,0.5021,193.003,199.639,0.677624751
2024-06-18 17:59:10.049761,3081.8834064006805,1,155.08575649333858,-2.1601175041810725,-166.72107834064522,1.6301264292259594,121.48300487923593,-1.4433810457496117,0.4991,0.5021,193.003,199.639,0.677579242
2024-06-18 17:59:11.029033,3082.8626787662506,1,155.05589434953762,-2.172157276045331,-166.73844899886655,1.488972038815076,121.47707782837597,-1.486853932680837,0.4996,0.5021,193.004,199.64,0.677585229
2024-06-18 17:59:12.034859,3083.868504524231,1,155.0126184284496,-1.9959973527024977,-166.7359608789734,1.7467008727815492,121.48219280835568,-1.5087266270575277,0.4996,0.5021,193.004,199.641,0.677576115
2024-06-18 17:59:13.037403,3084.871047973633,1,155.12031423262437,-1.9530724575354552,-166.6312652925982,1.495678897584876,121.52235071080442,-1.4194361902595614,0.4996,0.5021,193.004,199.64,0.677660878
2024-06-18 17:59:14.041294,3085.874939918518,1,155.09811764888292,-2.078135849904492,-166.68216073582633,1.6013924387827772,121.52801762526177,-1.421979694313127,0.5007,0.5021,193.005,199.64,0.677606725
2024-06-18 17:59:15.044451,3086.878096342087,1,155.11195167985235,-1.9640117260737617,-166.6060147559925,1.5940847030084777,121.55797101390725,-1.4715202092425572,0.4991,0.5021,193.004,199.639,0.677575977
2024-06-18 17:59:16.044304,3087.8779497146606,1,155.0512088415108,-1.9049125104004323,-166.7057905150226,1.5592000209689991,121.56087055213733,-1.4118663160809248,0.4996,0.5021,193.005,199.639,0.677619311
2024-06-18 17:59:17.046851,3088.880496740341,1,155.12606151149842,-1.7748041396753584,-166.68268907189284,1.610700804667686,121.51571237394649,-1.4761217536116515,0.4996,0.5021,193.006,199.64,0.677627678
2024-06-18 17:59:18.068156,3089.9018013477325,1,155.1617962633924,-1.9086164495984381,-166.56204624007935,1.6184388777494574,121.53425948232534,-1.4493658806548697,0.4996,0.5021,193.006,199.641,0.677604889
2024-06-18 17:59:19.069031,3090.9026770591736,1,155.21681374959738,-2.0943205799878024,-166.64340029757747,1.59862469035414,121.5125092398769,-1.4579226570777784,0.4996,0.5021,193.005,199.639,0.677578834
2024-06-18 17:59:20.054822,3091.8884677886963,1,154.93814334856486,-2.1149596098290644,-166.7941742217969,1.5267076716691055,121.46749943937074,-1.3938275952611197,0.4996,0.5021,193.005,199.639,0.677607542
2024-06-18 17:59:21.073337,3092.9069826602936,1,155.0899767235084,-1.9198750592671419,-166.68349020906066,1.580067124089829,121.54479310590597,-1.456029985539395,0.4991,0.5021,193.004,199.639,0.677495499
2024-06-18 17:59:22.059154,3093.89279961586,1,154.97390025601328,-2.049852169669274,-166.74823848061988,1.5975492903099622,121.54972439633113,-1.3508732290954713,0.5001,0.5021,193.006,199.64,0.677532507
2024-06-18 17:59:23.091010,3094.924655675888,1,155.06287681007421,-1.9564056986217295,-166.73126798086932,1.641129883539143,121.5927448238027,-1.3847689844226514,0.5001,0.5021,193.005,199.638,0.677605297
2024-06-18 17:59:24.065357,3095.899002313614,1,155.0273475109491,-2.0715373121568033,-166.7314455492117,1.506799532977654,121.50168693148807,-1.4853660290507449,0.4996,0.5021,193.006,199.64,0.677533867
2024-06-18 17:59:25.085215,3096.9188606739044,1,154.97704290038044,-2.058973806914401,-166.76252360719084,1.5848140556937602,121.53841522099651,-1.368417090093233,0.5001,0.5021,193.004,199.639,0.677693598
2024-06-18 17:59:26.093775,3097.92742061615,1,154.97812055407465,-1.9999265418900758,-166.69288346401552,1.7737853148226828,121.47652834419269,-1.4281839550772388,0.5007,0.5021,193.004,199.639,0.677665638
2024-06-18 17:59:27.082290,3098.9159350395203,1,155.1305875329409,-1.957165342706895,-166.64725667548095,1.5169339914200641,121.5207411179887,-1.454789284450634,0.5001,0.5021,193.005,199.639,0.677672235
2024-06-18 17:59:28.100540,3099.9341859817505,1,155.0123163215363,-2.015372297115485,-166.7362291571826,1.6154365075626644,121.56638156527828,-1.3773248219344219,0.4996,0.5021,193.006,199.638,0.677572233
2024-06-18 17:59:29.098604,3100.932249546051,1,155.0644969109719,-1.6051248239378257,-166.75062902970632,1.644104625068419,121.46904215330588,-1.5504850218032407,0.4991,0.5021,193.006,199.638,0.677600669
2024-06-18 17:59:30.108560,3101.9422056674957,1,154.99074526210677,-1.8031241079217961,-166.71856793026853,1.6234484799606226,121.50362201493758,-1.5219396443949202,0.4996,0.5021,193.006,199.639,0.677641418
2024-06-18 17:59:31.096098,3102.929743528366,1,155.0056845889111,-2.0157575063833435,-166.6921482450402,1.6066273489695961,121.58300974278708,-1.527002521946093,0.5007,0.5021,193.005,199.639,0.677619717
2024-06-18 17:59:32.097965,3103.931610584259,1,155.11304850602252,-1.932973234514604,-166.69788386544735,1.5825510718496374,121.57611690537121,-1.4731936151854836,0.5007,0.5021,193.006,199.639,0.67764203
2024-06-18 17:59:33.090699,3104.924344778061,1,155.02051680979838,-1.77514566344916,-166.7319340252102,1.6273125929187577,121.51305196166425,-1.5256773722325596,0.5007,0.5021,193.005,199.639,0.677632982
2024-06-18 17:59:34.094304,3105.9279494285583,1,155.22003977660282,-2.07941418253172,-166.623936020699,1.6310206786953243,121.52864303420301,-1.4685382627922,0.5001,0.5021,193.005,199.639,0.677590261
