Elapsed Time (s),n2dRaw,t,n2d
163710.206465721,290849638000670,,
163712.000374794,290432768377559,,
163713.723134279,287973221320112,,
163715.575405598,283621561182910,,
163717.302637816,286592513442385,,
163719.073127508,289102651279338,,
163720.820262194,284417392927838,,
163722.498880863,276913327252122,,
163724.320512295,282506695770739,,
163726.001659632,288836008719038,,
163727.808685541,293027548802119,,
163729.488240719,287518747049099,,
163731.176776171,283808505634914,,
163733.003861904,282573311857036,,
163734.678908348,283699686191452,,
163736.507125139,286136611349231,,
163738.177294731,282150125010187,,
163739.871275187,280272790925716,,
163741.681716681,275737734993564,,
163743.37929225,276891770058159,,
163745.158859015,275188645656906,,
163746.913420916,276487990856724,,
163748.62191987,284092035538635,,
163750.392469406,284670202947940,,
163752.162815571,285588593436884,,
163753.995897055,287389348346825,,
163755.728840113,284783514041555,,
163757.511572599,283199056011756,,
163759.293015718,283080429507790,,
163760.957682133,280328216759761,,
163762.623189926,277182617961150,,
163764.463974237,278369138323654,,
163766.208662272,284930237368672,,
163768.012970686,282200093209764,,
163769.857812405,276195321784203,,
163771.557979584,285714130720166,,
163773.315165043,287916032387125,,
163775.03212595,289225373433140,,
163776.858051538,285362620536395,,
163778.526242256,280877463482371,,
163780.239693403,283313011348914,,
163782.081671238,284619408575696,,
163783.776483297,282585595822506,,
163785.466899395,285717633943244,,
163787.284457445,284432871444660,,
163789.858649969,287541160217140,,
163791.620225906,284239248665863,,
163793.283224821,283485764887402,,
163795.097073317,287477901816791,,
163796.768080473,289511049345022,,
163798.462557554,290069556964300,,
163800.292776346,285836336277638,,
163801.986902475,282980994202234,,
163803.828660488,284045780861721,,
163805.526835442,284588173990509,,
163807.238738298,282014595448442,,
163808.992154837,276820507556747,,
163810.698297024,271312224072046,,
163812.466437578,278387414531084,,
163814.244365931,292618193591740,,
163815.899098158,292524456054100,,
163817.763136625,282366427657049,,
163819.484050512,278154181441572,,
163821.103812456,281190981729833,,
163822.921884537,286711364616834,,
163824.641377211,290411046663332,,
163826.500549793,289954074909622,,
163828.172871113,290493611249819,,
163829.976438761,286693019279016,,
163831.86702919,279089131548715,,
163833.565660238,284318355942750,,
163835.270862579,293264528270477,,
163837.07598114,289218729576430,,
163838.805566311,280307411383484,,
163840.632580519,278611245451304,,
163842.325748444,277600328717074,,
163844.025132656,277270551028218,,
163845.86702919,274872185813239,,
163847.701969862,271914216799597,,
163849.426907063,274670847075486,,
163851.192035437,277412280545667,,
163853.066794634,278857437984788,,
163854.873034239,285647010655980,,
163856.5829072,285396872655679,,
163858.433415651,278876250587447,,
163860.242409945,282740382425157,,
163861.934280634,289191886188672,,
163863.768216372,284310994896809,,
163865.469998121,280949354826956,,
163867.198349237,289255830453669,,
163868.984403372,294864624273346,,
163870.715153694,284055907205066,,
163872.493028402,280874839343550,,
163874.16694665,284411473641902,,
163875.893218279,285070319918733,,
163877.68367815,282355421309547,,
163879.417545557,279572098255262,,
163881.273679256,278722300804194,,
163882.988651514,281215426283531,,
163884.712812185,287032228835962,,
163886.485628843,286277202813197,,
163888.187668324,281115736074802,,
163890.090699673,282193377996343,,
163891.774815083,279293557172470,,
163893.419144154,280975989182384,,
163895.288428545,283065168787669,,
163896.971655607,274761496305319,,
163898.807430506,274498163651613,,
163900.477657557,286629948092310,,
163902.207432747,286932549870381,,
163904.024154186,280488440602558,,
163905.704990625,282623260032122,,
163907.488970995,295382268558710,,
163909.174108505,291666189746648,,
163910.866416216,282618553475597,,
163912.735525131,283300571553324,,
163914.4704144,285126141631814,,
163916.136381626,279722092339261,,
163917.972400427,279664810619644,,
163919.671622276,278988860505655,,
163921.448500395,275436387414036,,
163923.222439528,278117782615768,,
163925.882169485,281728224377247,,
163927.615031958,276755969645576,,
163929.354837656,270823645247415,,
163931.205420733,279856116606757,,
163933.024246216,290136254307406,,
163934.713794708,290578210283090,,
163936.491719246,283381508601324,,
163938.222908258,281469064884579,,
163940.035148859,287139352164055,,
163941.699109077,288429152611306,,
163943.377275705,288472278166642,,
163945.113696098,292215721149519,,
163946.882427692,294564088672015,,
163948.755897284,293628365519800,,
163950.672566414,288682428978755,,
163952.396397829,290657527080970,,
163954.379089594,296424600916093,,
163956.151414394,291492180754117,,
163957.87163806,289010132578678,,
163959.611792564,287204988684971,,
163961.325308085,284336854012622,,
163963.034379721,288841860033912,,
163964.981905699,,,
163966.779014349,287620593295100,,
163968.491072655,283938701230465,,
163970.277333975,277961153172932,,
163972.011474609,281289214867953,,
163973.696429729,282522401375258,,
163975.556782723,281806605318991,,
163977.243696213,288529090171023,,
163979.114120245,289405895033631,,
163980.793042183,286694418446385,,
163982.599742174,287691760257491,,
163984.280601501,291040673871429,,
163986.083835125,292760483704151,,
163987.834106684,295817239783886,,
163989.502721071,297103129643061,,
163991.309318066,290738683997868,,
163993.082951546,281986205016159,,
163994.88784337,280082311537524,,
163996.686372757,281805824864338,,
163998.381147146,285863777259380,,
164000.214905262,282429737898639,,
164001.890022039,284971629208121,,
164003.586441517,283729422039308,,
164005.438563824,277195283972284,,
164007.112606287,279677830154560,,
164009.068897009,286828214885969,,
164010.913539648,282252113374921,,
164012.656021833,277831533419814,,
164014.485011816,277661257246679,,
164016.180790663,281428742859229,,
164017.878487587,286780724772060,,
164019.734089136,284348068668012,,
164021.476908684,284967689777075,,
164023.209036589,292456538825503,,
164025.007888794,290538095146821,,
164026.729211807,287358435698051,,
164028.507679701,293263042509404,,
164030.283097029,291393767384242,,
164031.93433547,286364504788836,,
164033.779530287,284281642177130,,
164035.448132038,283522429907981,,
164037.155320644,284308121966879,,
164038.915249825,279800173921866,,
164040.627830267,274876003218218,,
164042.447275639,274227189102343,,
164044.118298054,274148626577798,,
164045.827709913,281168845650409,,
164047.638326168,284076322365143,,
164049.322590113,276159539119071,,
164051.096572638,281550513047617,,
164052.803791046,288612404469702,,
164054.462359428,282942898057930,,
164056.402059555,279650421255883,,
164058.125836134,284959883478294,,
164059.929278135,282992189942804,,
164061.684626102,286503690865503,,
164063.536479712,296814837169281,,
164065.286582947,290749428039066,,
164067.008063555,284317645902325,,
164068.887346745,279065541653117,,
164070.799139977,279072562141870,,
164072.704936504,279073137279806,,
164074.388985157,283476877245885,,
164076.108986378,289731123299682,,
164077.887759447,290879175088298,,
164079.615373611,288185074258124,,
164081.336699247,285872823441808,,
164083.227886677,284604538228346,,
164084.950729132,286020639597611,,
164086.728881359,282177996238412,,
164088.451936483,277775642607914,,
164090.109344959,277825710578391,,
164091.924422741,285539438338729,,
164093.630198717,281916755635589,,
164095.392323971,279097750023045,,
164097.211784601,281150911747669,,
164098.894688129,279781121644253,,
164100.701689243,285803110081085,,
164102.393620014,289457681489605,,
164104.091786861,291907083239669,,
164105.904036522,302538484634306,,
164107.694188833,300016482854387,,
164109.501354456,291610365533552,,
164111.138739824,286531983637235,,
164112.858132362,275396935879883,,
164114.667127132,267312151550764,,
164116.439517021,276798938687850,,
164118.225402355,286527586386457,,
164119.932528734,292316542613373,,
164121.604379177,292686316490623,,
164123.442669153,295035742298594,,
164125.115597487,287035349953050,,
164126.918678522,274281479638354,,
164128.673279524,275774564237501,,
164130.512909174,285233060219718,,
164132.343699932,281522229122438,,
164134.061650991,284836615170903,,
164135.896319866,288157294615555,,
164137.647931576,282335497584702,,
164139.410920143,283193210274471,,
164141.199259758,283167328590035,,
164142.897391081,279915246397298,,
164144.742133617,281532296522434,,
164146.717214108,277790957835676,,
164148.594475269,277680348446678,,
164150.403578281,280866442682327,,
164152.095510721,276158862163319,,
164153.947130919,281516107012231,,
164155.833013535,284639587872907,,
164157.543424845,284773748207020,,
164159.370569706,282580843308302,,
164161.0367167,284211683034627,,
164162.854869843,285736307927511,,
164164.617615938,279293009010019,,
164166.438082933,281606792059948,,
164168.237037897,284183118053250,,
