Timestamp,Elapsed Time (s),Rxy_X,Rxy_Y,Ryx_X,Ryx_Y,Rxx_X,Rxx_Y,Sample_Stage,Input_B,Magnet_Stage,Arm,CCR_2nd_Stage,CCR_1st_Stage,Rad_Stage,reference,Field (T),LED_ON
2024-05-02T22:49:33.715273,21809.657687187195,0.0005512802629772297,-5.22140065519362e-06,-0.0005315382932891143,3.7932059520234755e-06,0.0006860536323988254,-5.10950156729166e-06,294.999,0.0,3.6932,137.569,3.3097,33.4598,42.1127,0.0,1.00013,True
2024-05-02T22:49:34.574778,21810.522168159485,0.0005513052977558921,-5.253333763248639e-06,-0.0005314708968917874,4.010256224076205e-06,0.0006860316088078379,-5.139763309329589e-06,295.0,0.0,3.6966,137.569,3.3248,33.4598,42.1125,0.0,1.00013,True
2024-05-02T22:49:35.415274,21811.355689764023,0.0005513023101539144,-5.07292062568158e-06,-0.0005311799603796184,4.3368724971560705e-06,0.0006860283255504652,-5.149970911818294e-06,295.0,0.0,3.6944,137.569,3.3368,33.4603,42.1127,0.0,1.00013,True
2024-05-02T22:49:36.275458,21812.22189259529,0.0005514032301977731,-4.977357966518968e-06,-0.0005307190640754733,4.5600614132679964e-06,0.0006860320161811466,-5.210004317402649e-06,295.0,0.0,3.6975,137.569,3.344,33.4601,42.1127,0.0,1.00013,True
2024-05-02T22:49:37.135564,21813.083973646164,0.0005514740357532425,-5.0722195699564896e-06,-0.000530568383133823,4.8620375043980495e-06,0.0006860068379919998,-5.296200296732143e-06,295.0,0.0,3.6957,137.569,3.3434,33.46,42.1128,0.0,1.00013,True
2024-05-02T22:49:37.994801,21813.949207782745,0.0005511475643183581,-5.119299964593531e-06,-0.0005309298780842628,4.788172377206425e-06,0.0006861534091838027,-5.2222593738455336e-06,294.999,0.0,3.6979,137.569,3.3355,33.46,42.113,0.0,1.00013,True
2024-05-02T22:49:38.835255,21814.789638996124,0.0005509175186289975,-5.44868171537935e-06,-0.0005313962209395597,4.422738964417916e-06,0.0006861653341561309,-5.09271138050415e-06,295.0,0.0,3.6975,137.569,3.3243,33.4597,42.1131,0.0,1.00013,True
2024-05-02T22:49:39.675295,21815.622255563736,0.0005510755832679751,-5.6338932570167035e-06,-0.0005315470127248193,4.279811089928909e-06,0.0006861563127356141,-5.058392637186595e-06,295.0,0.0,3.6991,137.569,3.308,33.4594,42.1137,0.0,1.00013,True
2024-05-02T22:49:40.514607,21816.466036081314,0.0005512502762961542,-5.421978096298436e-06,-0.0005312779099543291,4.213047498570116e-06,0.0006861268981759079,-5.114728883567799e-06,295.001,0.0,3.6984,137.569,3.299,33.4593,42.1137,0.0,1.00013,True
2024-05-02T22:49:41.335153,21817.28956055641,0.0005512231560904216,-5.280383886203316e-06,-0.0005311322334942016,4.084468008856536e-06,0.0006860590976009092,-5.14351215406667e-06,295.001,0.0,3.6975,137.569,3.2926,33.4592,42.1139,0.0,1.00013,True
2024-05-02T22:49:42.174649,21818.123061418533,0.0005512102330432209,-5.315061561974612e-06,-0.0005311623914198369,4.257570647351935e-06,0.0006860336971129615,-5.112068409152493e-06,295.0,0.0,3.6987,137.569,3.2904,33.4605,42.1138,0.0,1.00013,True
2024-05-02T22:49:43.025159,21818.971569538116,0.0005515091995219102,-5.333734538730492e-06,-0.0005312185680141006,4.340433160958434e-06,0.000686037901814123,-5.154251859173063e-06,295.0,0.0,3.6978,137.569,3.2946,33.4605,42.1137,0.0,1.00013,True
2024-05-02T22:49:43.874670,21819.82309794426,0.0005515678415586554,-4.920142020908439e-06,-0.0005312480928423644,4.272164195013911e-06,0.0006860832655247877,-5.111338564319636e-06,295.0,0.0,3.6993,137.569,3.3057,33.4605,42.1138,0.0,1.00013,True
2024-05-02T22:49:44.715201,21820.67060995102,0.0005514117238188629,-4.3706225263191306e-06,-0.0005314423798211,4.179354522738169e-06,0.0006860269714293388,-5.117121271405671e-06,295.001,0.0,3.6983,137.569,3.3202,33.4609,42.1137,0.0,1.00013,True
2024-05-02T22:49:45.614663,21821.563074588776,0.0005512958419518898,-4.172524364045663e-06,-0.0005316331370763314,4.135792238329679e-06,0.0006859649741072899,-5.138918579731159e-06,295.0,0.0,3.6981,137.569,3.333,33.4609,42.114,0.0,1.00013,True
2024-05-02T22:49:46.475181,21822.422578811646,0.0005509177794606379,-4.640959487031323e-06,-0.0005318242856944074,4.367869785828796e-06,0.0006859213009461764,-5.33475653356476e-06,295.0,0.0,3.6973,137.569,3.3341,33.4608,42.114,0.0,1.00013,True
2024-05-02T22:49:47.314697,21823.25010228157,0.0005507172419681969,-5.178241174921137e-06,-0.0005318220759789403,4.392376582336912e-06,0.0006858973932733297,-5.459632498742954e-06,295.0,0.0,3.6981,137.569,3.335,33.4608,42.1142,0.0,1.00013,True
2024-05-02T22:49:48.175431,21824.124841451645,0.000550749937398629,-5.611384084371309e-06,-0.0005318108503287812,4.297160995056652e-06,0.0006859317835181486,-5.2762871121768415e-06,295.0,0.0,3.6971,137.569,3.3287,33.4639,42.1142,0.0,1.00013,True
2024-05-02T22:49:48.994575,21824.94998192787,0.000550858891175456,-5.870059557823844e-06,-0.0005314738959651604,4.247486280555362e-06,0.0006860113624860898,-5.171771786755447e-06,295.0,0.0,3.6978,137.569,3.3193,33.4635,42.1143,0.0,1.00013,True
2024-05-02T22:49:49.835370,21825.755394220352,0.0005509273535531756,-5.933558385321156e-06,-0.0005313373961685945,4.473365783262421e-06,0.0006860080767312165,-5.251877568954136e-06,295.0,0.0,3.6981,137.569,3.3094,33.4633,42.1143,0.0,1.00013,True
2024-05-02T22:49:50.674831,21826.624241113663,0.0005513940002015709,-5.852058811194889e-06,-0.0005313115308205216,4.660654050523227e-06,0.0006859548952397482,-5.32774641850362e-06,295.0,0.0,3.6961,137.569,3.2998,33.4627,42.1143,0.0,1.00013,True
2024-05-02T22:49:51.495190,21827.45173215866,0.000551537304862417,-5.616276910980781e-06,-0.0005313169883381687,4.385464706308497e-06,0.0006859343589534437,-5.2691886802200404e-06,295.0,0.0,3.6968,137.569,3.2924,33.4624,42.1143,0.0,1.00013,True
2024-05-02T22:49:52.334708,21828.28411769867,0.0005512533706971791,-5.419674629090211e-06,-0.0005312830135740026,4.359217096536627e-06,0.0006860229234127632,-5.240315174533626e-06,295.001,0.0,3.6971,137.569,3.2893,33.4627,42.1142,0.0,1.00013,True
2024-05-02T22:49:53.185217,21829.124633312225,0.0005510155123911515,-5.250659374659338e-06,-0.000531349852348373,4.531900065864524e-06,0.0006862483732100359,-5.103631729268733e-06,295.0,0.0,3.6964,137.569,3.2924,33.463,42.1145,0.0,1.00013,True
2024-05-02T22:49:54.014738,21829.967146396637,0.000550858053921581,-4.781840238639621e-06,-0.0005316948132199752,4.470159244626518e-06,0.0006861741727010504,-5.0400690838018675e-06,295.0,0.0,3.6973,137.569,3.3018,33.4633,42.1145,0.0,1.00013,True
2024-05-02T22:49:54.884434,21830.823864221573,0.0005508026530983122,-4.564118767490696e-06,-0.0005317112294591284,4.2275794111547325e-06,0.0006860968602917656,-5.089490549841237e-06,295.0,0.0,3.6956,137.569,3.3117,33.4634,42.1146,0.0,1.00013,True
2024-05-02T22:49:55.735325,21831.674742221832,0.0005508735277287415,-4.606455092886975e-06,-0.0005316289159930523,3.9627624098910294e-06,0.000686078780975186,-5.203925624947777e-06,294.999,0.0,3.6961,137.569,3.3237,33.4633,42.1145,0.0,1.00013,True
2024-05-02T22:49:56.584383,21832.52503323555,0.000550942819975499,-4.699185396862839e-06,-0.0005316499259419216,3.970004765669108e-06,0.0006861502531676529,-5.302564654605459e-06,294.999,0.0,3.6948,137.569,3.332,33.4658,42.1145,0.0,1.00013,True
2024-05-02T22:49:57.434892,21833.375309944153,0.0005509369087736538,-5.175406613373949e-06,-0.0005316483923379403,4.18388483284095e-06,0.0006861662175688656,-5.240134581874956e-06,294.999,0.0,3.6955,137.569,3.3344,33.4656,42.1148,0.0,1.00013,True
2024-05-02T22:49:58.314405,21834.250816345215,0.000551241737101418,-5.140768779541626e-06,-0.0005316524247625763,4.3228244915610225e-06,0.0006860396189099723,-5.164860382538904e-06,295.0,0.0,3.6939,137.569,3.3296,33.4649,42.1152,0.0,1.00013,True
2024-05-02T22:49:59.144386,21835.098793506622,0.0005513177872103727,-4.89405876806961e-06,-0.0005316069553125841,4.509923586553371e-06,0.0006859403024949085,-5.182402096981282e-06,295.0,0.0,3.6951,137.569,3.3204,33.4642,42.1154,0.0,1.00013,True
2024-05-02T22:49:59.974907,21835.925342559814,0.0005512493019747233,-5.025292682088372e-06,-0.0005315025205865323,4.635403357785319e-06,0.0006859653375391597,-5.196545429751861e-06,295.001,0.0,3.6932,137.569,3.3104,33.4634,42.1154,0.0,1.00013,True
2024-05-02T22:50:00.824417,21836.776846647263,0.0005514601543323918,-4.926481645825823e-06,-0.0005314595656242386,4.534446268796659e-06,0.0006859854121382006,-5.135916304634674e-06,295.0,0.0,3.6943,137.569,3.301,33.4627,42.1152,0.0,1.00013,True
