Parameters:
  Sample : 50
  Solvent : <unspecified>
  Comment : 7:27
  Exc_Wavelength : 376.7 nm
  Exc_Bandpass : 1.8 nm
  Exc_Polarisation : 0.0 °
  Exc_Source : PDL 820
  Exc_Intensity : 94 %
  Exc_Attenuation : open (5)
  Det_Wavelength : 496.0 nm
  Det_Bandpass : 9.4 nm
  Det_Polarisation : 54.7 °
  Det_Lens_Position : 7.7 mm
  Det_Attenuation : 10 %
  Det_Filter : 405 LP (5)
  Det_Grating : 1200gr_500bl (1)
  Detector : UV-VIS [HPD]
  Meas_Time : 0.0 s
  Meas_BinWidth : 128000 ps
  Meas_BaseResolution : 250 ps
  Meas_Stop : 10000 counts
  Meas_PeakCounts : 10000 counts
  Sync_Frequency : 3000 Hz
  Sync_Source : PDL 820
  Base Sync Rate : 40.0 MHz
  Number of Bursts : 50 
  Effective Sync Rate : 3.0 kHz
  Signal_Rate : 940 cps
  Start_Date : 12/11/2023
  Start_Time : 10:20:22
  PhotonCounter : TimeHarp 260 N 1031483 0111-0120-01.21
  EasyTau : 3313
  Signal_TrigLevel : -30 mV
  Signal_TrigEdge : false
  Signal_Offset : 0 ps
  Signal_Enable : true
  Sync_TrigLevel : -80 mV
  Sync_TrigEdge : false
  Sync_Offset : 36000 ps
  Sync_SyncDiv : 1 

Data:
Time [ns]	Intensity [Cnts.]
58879.9994147848	25
59007.9980611335	23
59135.9967074823	24
59263.9989918098	25
59391.9976381585	26
59519.999922486	23
59647.9985688347	20
59775.9972151834	15
59903.999499511	22
60031.9981458597	30
60159.9967922084	20
60287.9990765359	21
60415.9977228846	16
60544.0000072122	16
60671.9986535609	19
60799.9972999096	20
60927.9995842371	24
61056.0018685646	18
61184.0005149133	24
61311.9991612621	18
61439.9978076108	14
61567.9964539595	13
61695.9951003082	21
61824.0010226145	20
61951.9996689633	18
62079.998315312	23
62207.9969616607	21
62335.9956080094	15
62464.0015303157	20
62592.0001766644	16
62719.9988230132	24
62847.9974693619	16
62975.9961157106	22
63103.9947620593	13
63232.0006843656	16
63359.9993307143	15
63487.9979770631	12
63615.9966234118	15
63743.9952697605	14
63872.0011920668	13
63999.9998384155	18
64127.9984847642	21
64255.997131113	19
64383.9957774617	15
64512.001699768	13
64640.0003461167	20
64767.9989924654	18
64895.9976388142	16
65023.9962851629	14
65151.9949315116	17
65280.0008538179	14
65407.9995001666	22
65535.9981465153	16
65663.9967928641	20
65791.9954392128	21
65920.0013615191	10
66048.0000078678	18
66175.9986542165	14
66303.9973005652	18
66431.995946914	13
66559.9945932627	16
66688.000515569	23
66815.9991619177	12
66943.9978082664	16
67071.9964546151	11
67199.9951009639	14
67328.0010232702	18
67455.9996696189	15
67583.9983159676	16
67711.9969623163	11
67839.995608665	9
67968.0015309714	18
68096.0001773201	18
68223.9988236688	12
68351.9974700175	11
68479.9961163662	16
68607.994762715	14
68736.0006850213	10
68863.99933137	13
68991.9979777187	13
69119.9966240674	16
69247.9952704161	8
69376.0011927225	16
69503.9998390712	16
69631.9984854199	16
69759.9971317686	11
69887.9957781173	10
70015.994424466	11
70144.0003467724	16
70271.9989931211	10
70399.9976394698	15
70527.9962858185	11
70655.9949321672	17
70784.0008544736	14
70911.9995008223	11
71039.998147171	11
71167.9967935197	18
71295.9954398684	10
71424.0013621747	14
71552.0000085235	11
71679.9986548722	5
71807.9973012209	5
71935.9959475696	11
72063.9945939183	12
72192.0005162247	9
72319.9991625734	13
72447.9978089221	11
72575.9964552708	11
72703.9951016195	15
72832.0010239258	7
72959.9996702746	9
73087.9983166233	6
73215.996962972	5
73343.9956093207	9
73472.001531627	13
73600.0001779757	10
73727.9988243245	10
73855.9974706732	11
73983.9961170219	8
74111.9947633706	15
74240.0006856769	3
74367.9993320257	6
74495.9979783744	6
74623.9966247231	10
74751.9952710718	4
74880.0011933781	14
75007.9998397268	8
75135.9984860755	2
75263.9971324243	8
75391.995778773	7
75519.9944251217	6
75648.000347428	7
75775.9989937767	10
75903.9976401255	6
76031.9962864742	9
76159.9949328229	9
76288.0008551292	2
76415.9995014779	10
76543.9981478266	9
76671.9967941754	8
76799.9954405241	14
76928.0013628304	7
77056.0000091791	5
77183.9986555278	14
77311.9973018765	6
77439.9959482253	8
77567.994594574	5
77696.0005168803	4
77823.999163229	10
77951.9978095777	7
78079.9964559265	6
78207.9951022752	10
78336.0010245815	6
78463.9996709302	5
78591.9983172789	5
78719.9969636276	4
78847.9956099763	10
78975.9942563251	3
79104.0001786314	5
79231.9988249801	9
79359.9974713288	12
79487.9961176775	6
79615.9947640263	7
79744.0006863326	7
79871.9993326813	7
79999.99797903	6
80127.9966253787	10
80255.9952717274	9
80384.0011940338	7
80511.9998403825	6
80639.9984867312	7
80767.9971330799	9
80895.9957794286	9
81023.9944257773	8
81152.0003480837	9
81279.9989944324	10
81407.9976407811	5
81535.9962871298	10
81663.9949334785	5
81792.0008557849	7
81919.9995021336	9
82047.9981484823	8
82175.996794831	4
82303.9954411797	6
82431.9940875284	4
82560.0000098348	5
82687.9986561835	4
82815.9973025322	6
82943.9959488809	7
83071.9945952296	7
83200.0005175359	6
83327.9991638847	5
83455.9978102334	2
83583.9964565821	3
83711.9951029308	4
83840.0010252371	8
83967.9996715859	5
84095.9983179346	4
84223.9969642833	8
84351.995610632	11
84479.9942569807	5
84608.000179287	6
84735.9988256358	2
84863.9974719845	0
84991.9961183332	3
85119.9947646819	1
85248.0006869882	9
85375.9993333369	7
85503.9979796857	6
85631.9966260344	4
85759.9952723831	3
85888.0011946894	4
86015.9998410381	3
86143.9984873869	5
86271.9971337356	4
86399.9957800843	4
86527.994426433	7
86656.0003487393	4
86783.998995088	2
86911.9976414368	7
87039.9962877855	3
87167.9949341342	6
87296.0008564405	4
87423.9995027892	5
87551.9981491379	3
87679.9967954867	8
87807.9954418354	2
87935.9940881841	5
88064.0000104904	7
88191.9986568391	3
88319.9973031879	4
88447.9959495366	9
88575.9945958853	4
88704.0005181916	2
88831.9991645403	4
88959.997810889	5
89087.9964572377	4
89215.9951035865	6
89344.0010258928	5
89471.9996722415	5
89599.9983185902	6
89727.9969649389	5
89855.9956112877	7
89983.9942576364	4
90112.0001799427	5
90239.9988262914	5
90367.9974726401	2
90495.9961189888	2
90623.9947653376	7
90752.0006876439	4
90879.9993339926	4
91007.9979803413	2
91135.99662669	5
91263.9952730387	4
91391.9939193875	5
91519.9998416938	6
91647.9984880425	3
91775.9971343912	8
91903.9957807399	8
92031.9944270887	3
92160.000349395	3
92287.9989957437	2
92415.9976420924	4
92543.9962884411	4
92671.9949347898	3
92800.0008570962	5
92927.9995034449	3
93055.9981497936	4
93183.9967961423	4
93311.995442491	1
93439.9940888397	7
93568.0000111461	6
93695.9986574948	6
93823.9973038435	3
93951.9959501922	3
94079.9945965409	2
94208.0005188473	5
94335.999165196	3
94463.9978115447	2
94591.9964578934	7
94719.9951042421	1
94847.9937505908	4
94975.9996728972	3
95103.9983192459	3
95231.9969655946	4
95359.9956119433	5
95487.994258292	4
95616.0001805983	3
95743.9988269471	4
95871.9974732958	2
95999.9961196445	2
96127.9947659932	4
96256.0006882995	3
96383.9993346483	4
96511.997980997	4
96639.9966273457	3
96767.9952736944	2
96895.9939200431	6
97023.9998423494	5
97151.9984886982	2
97279.9971350469	4
97407.9957813956	2
97535.9944277443	2
97664.0003500506	1
97791.9989963993	0
97919.9976427481	4
98047.9962890968	3
98175.9949354455	4
98303.9935817942	1
98431.9995041005	3
98559.9981504492	1
98687.996796798	2
98815.9954431467	1
98943.9940894954	2
99072.0000118017	3
99199.9986581504	2
99327.9973044991	2
99455.9959508479	3
99583.9945971966	3
99712.0005195029	5
99839.9991658516	3
99967.9978122003	1
100095.996458549	6
100223.995104898	4
100351.993751246	4
100479.999673553	4
100607.998319902	5
100735.99696625	0
100863.995612599	6
100991.994258948	3
101120.000181254	6
101247.998827603	5
101375.997473951	3
101503.9961203	4
101631.994766649	4
101760.000688955	3
101887.999335304	5
102015.997981653	1
102143.996628001	2
102271.99527435	3
102399.993920699	2
102527.999843005	4
102655.998489354	5
102783.997135703	4
102911.995782051	7
103039.9944284	4
103168.000350706	1
103295.998997055	4
103423.997643404	0
103551.996289752	3
103679.994936101	4
103807.99358245	0
103935.999504756	4
104063.998151105	2
104191.996797454	4
104319.995443802	3
104447.994090151	3
104576.000012457	0
104703.998658806	8
104831.997305155	2
104959.995951504	4
105087.994597852	5
105216.000520159	4
105343.999166507	3
105471.997812856	1
105599.996459205	5
105727.995105553	5
105855.993751902	0
105983.999674208	2
106111.998320557	2
106239.996966906	1
